Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Spain,ESP,1108015866402.98,1096586772895.41,1122720578385.82,1153679530908.98,1184373456934.88,1228225835056.49,1282182254748.16,1339758537546.96,1410042199157.1,1465498437519.32,1505521525651.77,1550414594279.47,1598830867453.38,1657220693140.08,1725211935879.96,1787400443011.53,1803257279933.43,1735396526250.81,1738225400134.26,1724069753884.88,1673046921517.68,1649032102052.6,1671853188290.09,1735971644688.39,1788594176239.12,1841780549395.31,1883934958796.44
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Sri Lanka,LKA,73378200905.3073,78441343180.9328,82833994647.5996,87389934954.3312,90710723823.2684,96521108252.8509,101056078247.482,105402035818.128,111726192918.683,109999567245.349,114360693342.258,121154026245.802,127750937215.529,135724828841.204,146132604897.676,156064983955.675,165350988064.641,171202614111,184926159796.233,200468709813.114,218800715813.452,226230603158.4,237453226027.88,249344131584.215,260531291492.816,269853543169.891,278683152393.769
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,St. Kitts and Nevis,KNA,585404677.413419,625223607.450068,658371206.558711,693812267.820485,734350594.832781,784462435.444067,780644097.65025,805779950.953188,886702887.675291,933285379.021439,946050063.820093,908838179.233651,945158503.465659,1037149085.96694,1069817087.09182,1076242470.33584,1142125706.18246,1095893690.28599,1089216210.66588,1109131824.37631,1084420230.82824,1142802062.31341,1214624934.72819,1227180563.99546,1391559698.58468,1404083723.57456,1441993976.60966
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,St. Lucia,LCA,1754732168.69569,1764965762.46097,1793179802.01373,1824528635.11916,1877852089.28888,1864817351.91383,1982048557.95643,2034981216.34038,2035973240.24775,1966585969.97306,1974775826.94113,2058992343.70691,2208627735.925,2199565631.93834,2335834382.13036,2375347790.40427,2492911399.75272,2422389440.42544,2461241233.47854,2596201214.21882,2591012660.90697,2508764135.27059,2552884914.65869,2518153306.95648,2609973113.02056,2701367915.57793,2780421310.42789
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,St. Vincent and the Grenadines,VCT,720128704.201087,769111494.391053,759134919.304492,818094284.581018,828630576.541275,857675344.041193,892755977.287187,916952386.462249,931981540.895149,947918344.312421,1007838304.76407,1085336400.54641,1130446555.06972,1158576109.84373,1247646730.17681,1289353201.00872,1309782866.89864,1282288666.41369,1239319050.74519,1234100069.08505,1251118487.54203,1274112261.8128,1289542294.54713,1306711987.83484,1331521060.07436,1344833245.17849,1373878012.6784
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Sudan,SDN,87339379691.4478,91329696893.2556,92248682097.2385,97780920726.7793,103568695414.017,114512526357.687,119446303254.982,123154030794.197,130969222740.22,139482694258.52,147860682587.241,157159357261.385,165238744613.212,174564018799.666,185965513629.197,196631145821.417,204195044063.221,198543528913.545,206203818639.667,199577392751.651,165639878987.62,168878378191.795,176750440364.193,180126686429.935,186372835393.388,187694696441.513,182662731984.259
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Suriname,SUR,5802409959.01309,5413648599.12033,5597712591.79739,5597712591.79739,5653689786.16501,5975949972.9971,6113396921.04218,6027809335.41108,6154393263.19006,6412877806.14391,6592438428.86905,7007762012.51799,7603421796.53195,7945575793.40914,8405906190.05035,8835573057.56261,9201666793.47853,9478977332.02154,9968929096.53592,10552048412.3264,10835935420.0579,11153801263.0386,11182299563.4094,10800860588.8323,10269913345.4989,10430862509.8543,10947009830.0286
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Sweden,SWE,285644171233.113,279743858473.285,290737716123.949,302178806162.26,306951588675.273,316376618833.072,330018260897.139,344034744145.196,360432640290.285,365657106430.004,373690304416.503,382321842642.945,398902591003.098,410306431198.75,429438090953.82,444207419292.345,442206001645.583,423015187266.165,448193503870.461,462514779856.249,459793784274.097,465255103186.95,477620645295.275,499062380984.548,509395932462.041,522476835542.435,532665253199.002
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Switzerland,CHE,374651649959.019,374179649807.356,378930824842.285,380752976519.292,382633553112.703,391316151711.763,403311288487.415,410351225770.872,426668469804.642,433391985204.885,433368120637.621,433165103391.495,445386978569.679,458225874794.251,476623678527.377,495668236880.128,509326431830.756,498734310157.196,515033454406.668,524924393704.964,531313740128.351,540992511400.501,554229760464.812,563417608022.354,574940548707.09,584052319305.968,601088571184.345
