Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,Mali,MLI,2140542,2237625,2340164,2446165,2555310,2668344,2791965,2942346,3103975,3277219,3462530,3660353,3871521,4095828,4334933,4588527,4855494,5132662,5417616,5709215,6008129,6316415,6637534,6973939,7326849,7695987,8080574
Urban population,SP.URB.TOTL,Malta,MLT,333102,336862,340447,343247,346401,350223,353666,356901,360316,364105,367875,371319,374812,378170,380114,381739,384526,387733,389936,391879,395713,401597,409992,420192,430220,442474,458518
Urban population,SP.URB.TOTL,Marshall Islands,MHL,32366,32918,33340,33666,33880,33998,34097,34311,34807,35526,36458,37495,38480,39309,39947,40424,40784,41118,41464,41849,42249,42669,43107,43549,44001,44488,44995
Urban population,SP.URB.TOTL,Mauritania,MRT,837239,856375,875796,895490,915512,935926,956975,978884,1001876,1043561,1096793,1152889,1211822,1273520,1338058,1405583,1476319,1550312,1627878,1709105,1793973,1882255,1973427,2067216,2163454,2262231,2363346
Urban population,SP.URB.TOTL,Mauritius,MUS,473391,477687,483053,485844,489444,494198,498006,502932,506439,509128,511325,513680,515544,517242,518278,519269,519756,519754,519604,519046,519081,518842,518383,517668,516887,516481,516155
Urban population,SP.URB.TOTL,Mexico,MEX,62876085,64340297,65800646,67251523,68621428,69944972,71260336,72568677,73899942,75268748,76634722,78013778,79428214,80890447,82408288,83973951,85573769,87182004,88781438,90370887,91948802,93515785,95072133,96615314,98145003,99655907,101149483
Urban population,SP.URB.TOTL,"Micronesia, Fed. Sts.",FSM,26042,26619,27095,26957,26507,25913,25227,24516,23984,23931,23899,23871,23809,23700,23524,23308,23103,22968,22948,23074,23330,23679,24066,24451,24827,25199,25573
Urban population,SP.URB.TOTL,Moldova,MDA,1386598,1381933,1375039,1366741,1361237,1344382,1332014,1318146,1303686,1289104,1274481,1259288,1244624,1235389,1231068,1227328,1224104,1221672,1219566,1217974,1216928,1215716,1214089,1204392,1191230,1172513,1154485
Urban population,SP.URB.TOTL,Monaco,MCO,29859,30145,30436,30731,31001,31268,31554,31836,32148,32474,32804,33144,33499,33842,34189,34524,34860,35223,35609,36025,36459,36899,37320,37723,38070,38392,38682
Urban population,SP.URB.TOTL,Mongolia,MNG,1277491,1287668,1296473,1305389,1314886,1324694,1334933,1345492,1369716,1408736,1448952,1490591,1533859,1578867,1625768,1674673,1726026,1780212,1837756,1882818,1921642,1962408,2004068,2045831,2087401,2128679,2169853
Urban population,SP.URB.TOTL,Montenegro,MNE,305585,312816,319860,326440,332459,337985,343256,348560,354162,361755,369361,376961,381058,383698,386254,388857,391621,394521,397301,399777,402174,404636,407105,409418,411597,413735,415729
Urban population,SP.URB.TOTL,Morocco,MAR,12815595,13226425,13636505,13953870,14245430,14529519,14808021,15083409,15357105,15629767,15902628,16177169,16456148,16803552,17172382,17550444,17940028,18343899,18764985,19203941,19659923,20128276,20602947,21078593,21553482,22027645,22501247
Urban population,SP.URB.TOTL,Mozambique,MOZ,3586799,3805284,4033582,4257127,4470999,4678934,4832664,4987016,5153816,5334821,5527355,5729157,5936928,6147973,6362398,6580887,6868320,7172457,7490098,7821270,8166394,8527067,8905236,9302448,9719881,10157505,10615024
Urban population,SP.URB.TOTL,Myanmar,MMR,10851863,11052322,11256262,11468853,11692263,11924109,12161320,12396386,12625998,12849010,13066099,13277061,13481502,13679548,13869371,14052307,14233443,14419343,14616049,14825520,15046734,15274180,15501262,15729411,15957057,16186648,16423467
Urban population,SP.URB.TOTL,Namibia,NAM,429843,448226,466660,485316,504270,523383,542608,561807,580960,599950,625184,652221,680413,710044,741413,774475,809118,844923,881792,919551,958964,999628,1041820,1085689,1130941,1177405,1224933
Urban population,SP.URB.TOTL,Nauru,NRU,10030,10287,10496,10626,10677,10643,10567,10449,10335,10219,10102,9990,9906,9848,9827,9846,9880,9945,10009,10069,10136,10208,10289,10374,10474,10577,10678
Urban population,SP.URB.TOTL,Nepal,NPL,1910490,2048792,2195197,2348124,2507255,2672682,2844419,3022677,3207389,3395692,3520929,3646258,3772484,3900034,4030431,4163436,4294653,4418039,4529575,4626212,4711768,4795227,4892046,5013180,5164239,5343055,5546094
Urban population,SP.URB.TOTL,Netherlands,NLD,10662777,10871452,11069798,11255548,11436659,11622597,11819675,12021931,12229998,12488742,12775902,13035570,13271929,13485107,13671225,13848922,14044865,14263741,14477657,14669707,14842886,14987369,15126226,15275237,15435425,15602670,15765213
Urban population,SP.URB.TOTL,New Caledonia,NCL,107631,110705,113966,116848,119477,122539,125629,128790,132030,135341,138724,141907,144893,148559,152384,156245,160140,163862,167587,171852,176182,180545,184770,186421,188063,189691,191304
Urban population,SP.URB.TOTL,New Zealand,NZL,3005583,3045443,3091625,3142704,3198324,3243637,3275597,3295923,3318432,3341111,3402067,3472292,3526736,3569251,3615494,3646829,3675355,3709702,3748563,3774624,3798063,3830023,3896881,3979802,4072982,4162127,4240881
Urban population,SP.URB.TOTL,Nicaragua,NIC,2340689,2405598,2470208,2532510,2588281,2642515,2695255,2746869,2797499,2847189,2895890,2944162,2992665,3042132,3094982,3148772,3203518,3258927,3314879,3371400,3428528,3486219,3544358,3602941,3661976,3722300,3783741
Urban population,SP.URB.TOTL,Niger,NER,1330334,1383092,1438600,1496903,1558007,1622099,1689424,1760045,1834126,1910772,1981483,2055424,2132567,2212887,2296698,2384028,2475071,2570548,2670629,2775331,2884959,2999175,3120565,3249670,3386494,3531990,3686235
Urban population,SP.URB.TOTL,Nigeria,NGA,30726607,32024148,33368627,34764763,36216360,37721269,39284674,40910969,42603694,44726802,46947857,49272801,51708639,54260116,56934075,59734513,62665438,65723905,68917193,72230102,75664344,79214960,82878565,86652535,90531026,94518523,98611151
Urban population,SP.URB.TOTL,North Macedonia,MKD,1168616,1176348,1184945,1181765,1181330,1181587,1183736,1185212,1186387,1187130,1174317,1173927,1173001,1171843,1170744,1170224,1170314,1171282,1173181,1175261,1177371,1180399,1184330,1188475,1192987,1197983,1203438
